"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Kerala","Idukki","Nedumkandam","Coffee","Other","07/01/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","14/01/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","21/01/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","28/01/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","04/02/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","11/02/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","18/02/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","25/02/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","04/03/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","11/03/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","18/03/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","25/03/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","01/04/2018","11300","11300","11300"
"Kerala","Idukki","Nedumkandam","Coffee","Other","08/04/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","15/04/2018","11300","11300","11300"
"Kerala","Idukki","Nedumkandam","Coffee","Other","29/04/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","06/05/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","13/05/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","20/05/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","27/05/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","03/06/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","10/06/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","17/06/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","24/06/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","01/07/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","08/07/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","15/07/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","22/07/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","29/07/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","05/08/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","12/08/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","19/08/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","02/09/2018","12500","12500","12500"
"Kerala","Idukki","Nedumkandam","Coffee","Other","09/09/2018","12000","12000","12000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","23/09/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","30/09/2018","11000","11000","11000"
"Kerala","Idukki","Nedumkandam","Coffee","Other","07/10/2018","12000","12000","12000"
